id+1,X,Y,Z,tonne,au_ppm,cu_pct,block_val,slope
1,15.0,15.0,15.0,61200.012,0.0,0.0,-299880.0588,50.0
2,15.0,15.0,45.0,61200.012,0.0,0.0,-299880.0588,50.0
3,15.0,15.0,75.0,61200.012,0.0,0.0,-299880.0588,50.0
4,15.0,15.0,105.0,61200.012,0.0,0.0,-299880.0588,50.0
5,15.0,15.0,135.0,61200.012,0.0,0.0,-299880.0588,50.0
6,15.0,15.0,165.0,61200.012,0.0,0.0,-299880.0588,50.0
7,15.0,15.0,195.0,61200.012,0.0,0.0,-299880.0588,50.0
8,15.0,15.0,225.0,61200.012,0.0,0.0,-299880.0588,50.0
9,15.0,15.0,255.0,61200.012,0.0,0.0,-299880.0588,50.0
10,15.0,15.0,285.0,61200.012,0.0,0.0,-299880.0588,50.0
11,15.0,15.0,315.0,61200.012,0.0,0.0,-299880.0588,50.0
12,15.0,15.0,345.0,61200.012,0.0,0.0,-299880.0588,50.0
13,15.0,15.0,375.0,61200.012,0.0,0.0,-299880.0588,50.0
14,15.0,15.0,405.0,52503.559,0.0,0.0,-257267.43910000002,50.0
15,15.0,45.0,15.0,61200.012,0.0,0.0,-299880.0588,50.0
16,15.0,45.0,45.0,61200.012,0.0,0.0,-299880.0588,50.0
17,15.0,45.0,75.0,61200.012,0.0,0.0,-299880.0588,50.0
18,15.0,45.0,105.0,61200.012,0.0,0.0,-299880.0588,50.0
19,15.0,45.0,135.0,61200.012,0.0,0.0,-299880.0588,50.0
20,15.0,45.0,165.0,61200.012,0.0,0.0,-299880.0588,50.0
21,15.0,45.0,195.0,61200.012,0.0,0.0,-299880.0588,50.0
22,15.0,45.0,225.0,61200.012,0.0,0.0,-299880.0588,50.0
23,15.0,45.0,255.0,61200.012,0.0,0.0,-299880.0588,50.0
24,15.0,45.0,285.0,61200.012,0.0,0.0,-299880.0588,50.0
25,15.0,45.0,315.0,61200.012,0.0,0.0,-299880.0588,50.0
26,15.0,45.0,345.0,61200.012,0.0,0.0,-299880.0588,50.0
27,15.0,45.0,375.0,61200.012,0.0,0.0,-299880.0588,50.0
28,15.0,45.0,405.0,54720.242,0.0,0.0,-268129.1858,50.0
29,15.0,75.0,15.0,61200.012,0.0,0.0,-299880.0588,50.0
30,15.0,75.0,45.0,61200.012,0.0,0.0,-299880.0588,50.0
31,15.0,75.0,75.0,61200.012,0.0,0.0,-299880.0588,50.0
32,15.0,75.0,105.0,61200.012,0.0,0.0,-299880.0588,50.0
33,15.0,75.0,135.0,61200.012,0.0,0.0,-299880.0588,50.0
34,15.0,75.0,165.0,61200.012,0.0,0.0,-299880.0588,50.0
35,15.0,75.0,195.0,61200.012,0.0,0.0,-299880.0588,50.0
36,15.0,75.0,225.0,61200.012,0.0,0.0,-299880.0588,50.0
37,15.0,75.0,255.0,61200.012,0.0,0.0,-299880.0588,50.0
38,15.0,75.0,285.0,61200.012,0.0,0.0,-299880.0588,50.0
39,15.0,75.0,315.0,61200.012,0.0,0.0,-299880.0588,50.0
40,15.0,75.0,345.0,61200.012,0.0,0.0,-299880.0588,50.0
41,15.0,75.0,375.0,61200.012,0.0,0.0,-299880.0588,50.0
42,15.0,75.0,405.0,56354.565,0.0,0.0,-276137.3685,50.0
43,15.0,105.0,15.0,61200.012,0.0,0.0,-299880.0588,50.0
44,15.0,105.0,45.0,61200.012,0.0,0.0,-299880.0588,50.0
45,15.0,105.0,75.0,61200.012,0.0,0.0,-299880.0588,50.0
46,15.0,105.0,105.0,61200.012,0.0,0.0,-299880.0588,50.0
47,15.0,105.0,135.0,61200.012,0.0,0.0,-299880.0588,50.0
48,15.0,105.0,165.0,61200.012,0.0,0.0,-299880.0588,50.0
49,15.0,105.0,195.0,61200.012,0.0,0.0,-299880.0588,50.0
50,15.0,105.0,225.0,61200.012,0.0,0.0,-299880.0588,50.0
51,15.0,105.0,255.0,61200.012,0.0,0.0,-299880.0588,50.0
52,15.0,105.0,285.0,61200.012,0.0,0.0,-299880.0588,50.0
53,15.0,105.0,315.0,61200.012,0.0,0.0,-299880.0588,50.0
54,15.0,105.0,345.0,61200.012,0.0,0.0,-299880.0588,50.0
55,15.0,105.0,375.0,61200.012,0.0,0.0,-299880.0588,50.0
56,15.0,105.0,405.0,57022.087,0.0,0.0,-279408.2263,50.0
57,15.0,135.0,15.0,61200.012,0.0,0.0,-299880.0588,50.0
